A[0]=32, B[0]=32,C[0]=64
A[665]=22, B[665]=2,C[665]=24
A[666]=95, B[666]=2,C[666]=97
A[667]=48, B[667]=6,C[667]=54
A[668]=39, B[668]=15,C[668]=54
A[669]=43, B[669]=34,C[669]=77
A[670]=79, B[670]=31,C[670]=110
A[671]=66, B[671]=87,C[671]=153
A[672]=23, B[672]=52,C[672]=75
A[673]=54, B[673]=56,C[673]=110
A[674]=34, B[674]=93,C[674]=127
A[675]=57, B[675]=52,C[675]=109
A[676]=56, B[676]=87,C[676]=143
A[677]=72, B[677]=34,C[677]=106
A[678]=79, B[678]=15,C[678]=94
A[679]=42, B[679]=63,C[679]=105
A[680]=15, B[680]=65,C[680]=80
A[681]=65, B[681]=9,C[681]=74
A[682]=67, B[682]=79,C[682]=146
A[683]=82, B[683]=73,C[683]=155
A[684]=95, B[684]=91,C[684]=186
A[685]=6, B[685]=39,C[685]=45
A[686]=21, B[686]=38,C[686]=59
A[687]=92, B[687]=10,C[687]=102
A[688]=91, B[688]=46,C[688]=137
A[689]=67, B[689]=91,C[689]=158
A[690]=38, B[690]=90,C[690]=128
A[691]=43, B[691]=95,C[691]=138
A[692]=76, B[692]=81,C[692]=157
A[693]=28, B[693]=21,C[693]=49
A[694]=63, B[694]=70,C[694]=133
A[695]=84, B[695]=78,C[695]=162
A[696]=0, B[696]=48,C[696]=48
A[697]=53, B[697]=68,C[697]=121
A[698]=94, B[698]=0,C[698]=94
A[699]=40, B[699]=88,C[699]=128
A[700]=92, B[700]=12,C[700]=104
A[701]=93, B[701]=12,C[701]=105
A[702]=17, B[702]=85,C[702]=102
A[703]=23, B[703]=7,C[703]=30
A[704]=30, B[704]=56,C[704]=86
A[705]=64, B[705]=34,C[705]=98
A[706]=45, B[706]=73,C[706]=118
A[707]=28, B[707]=87,C[707]=115
A[708]=20, B[708]=22,C[708]=42
A[709]=7, B[709]=83,C[709]=90
A[710]=59, B[710]=91,C[710]=150
A[711]=26, B[711]=59,C[711]=85
A[712]=5, B[712]=79,C[712]=84
A[713]=26, B[713]=99,C[713]=125
A[714]=79, B[714]=32,C[714]=111
A[715]=52, B[715]=70,C[715]=122
A[716]=11, B[716]=44,C[716]=55
A[717]=83, B[717]=28,C[717]=111
A[718]=95, B[718]=72,C[718]=167
A[719]=1, B[719]=91,C[719]=92
A[720]=27, B[720]=65,C[720]=92
A[721]=25, B[721]=38,C[721]=63
A[722]=4, B[722]=19,C[722]=23
A[723]=24, B[723]=24,C[723]=48
A[724]=8, B[724]=99,C[724]=107
A[725]=73, B[725]=67,C[725]=140
A[726]=89, B[726]=99,C[726]=188
A[727]=25, B[727]=60,C[727]=85
A[728]=77, B[728]=18,C[728]=95
A[729]=24, B[729]=21,C[729]=45
A[730]=16, B[730]=42,C[730]=58
A[731]=58, B[731]=27,C[731]=85
A[732]=53, B[732]=6,C[732]=59
A[733]=55, B[733]=47,C[733]=102
A[734]=78, B[734]=56,C[734]=134
A[735]=38, B[735]=71,C[735]=109
A[736]=88, B[736]=29,C[736]=117
A[737]=8, B[737]=58,C[737]=66
A[738]=48, B[738]=99,C[738]=147
A[739]=48, B[739]=56,C[739]=104
A[740]=97, B[740]=20,C[740]=117
A[741]=89, B[741]=52,C[741]=141
A[742]=18, B[742]=14,C[742]=32
A[743]=78, B[743]=61,C[743]=139
A[744]=99, B[744]=2,C[744]=101
A[745]=48, B[745]=14,C[745]=62
A[746]=44, B[746]=5,C[746]=49
A[747]=42, B[747]=97,C[747]=139
A[748]=11, B[748]=63,C[748]=74
A[749]=10, B[749]=55,C[749]=65
A[750]=19, B[750]=48,C[750]=67
A[751]=25, B[751]=73,C[751]=98
A[752]=77, B[752]=100,C[752]=177
A[753]=30, B[753]=91,C[753]=121
A[754]=99, B[754]=78,C[754]=177
A[755]=13, B[755]=95,C[755]=108
A[756]=98, B[756]=1,C[756]=99
A[757]=12, B[757]=82,C[757]=94
A[758]=82, B[758]=91,C[758]=173
A[759]=8, B[759]=80,C[759]=88
A[760]=93, B[760]=22,C[760]=115
A[761]=61, B[761]=2,C[761]=63
A[762]=28, B[762]=2,C[762]=30
A[763]=66, B[763]=5,C[763]=71
A[764]=65, B[764]=76,C[764]=141
A[765]=61, B[765]=50,C[765]=111
A[766]=90, B[766]=86,C[766]=176
A[767]=22, B[767]=32,C[767]=54
A[768]=52, B[768]=52,C[768]=104
A[769]=22, B[769]=50,C[769]=72
A[770]=96, B[770]=1,C[770]=97
A[771]=10, B[771]=59,C[771]=69
A[772]=70, B[772]=90,C[772]=160
A[773]=40, B[773]=51,C[773]=91
A[774]=80, B[774]=14,C[774]=94
A[775]=98, B[775]=38,C[775]=136
A[776]=37, B[776]=58,C[776]=95
A[777]=40, B[777]=31,C[777]=71
A[778]=60, B[778]=72,C[778]=132
A[779]=2, B[779]=91,C[779]=93
A[780]=47, B[780]=63,C[780]=110
A[781]=7, B[781]=2,C[781]=9
A[782]=15, B[782]=29,C[782]=44
A[783]=34, B[783]=67,C[783]=101
A[784]=48, B[784]=23,C[784]=71
A[785]=83, B[785]=9,C[785]=92
A[786]=24, B[786]=59,C[786]=83
A[787]=69, B[787]=94,C[787]=163
A[788]=48, B[788]=8,C[788]=56
A[789]=11, B[789]=27,C[789]=38
A[790]=90, B[790]=8,C[790]=98
A[791]=31, B[791]=93,C[791]=124
A[792]=32, B[792]=38,C[792]=70
A[793]=90, B[793]=58,C[793]=148
A[794]=9, B[794]=92,C[794]=101
A[795]=48, B[795]=23,C[795]=71
A[796]=55, B[796]=55,C[796]=110
A[797]=25, B[797]=36,C[797]=61
A[798]=51, B[798]=60,C[798]=111
A[799]=69, B[799]=65,C[799]=134
A[800]=83, B[800]=51,C[800]=134
A[801]=74, B[801]=73,C[801]=147
A[802]=76, B[802]=42,C[802]=118
A[803]=67, B[803]=24,C[803]=91
A[804]=17, B[804]=44,C[804]=61
A[805]=17, B[805]=73,C[805]=90
A[806]=18, B[806]=49,C[806]=67
A[807]=65, B[807]=50,C[807]=115
A[808]=87, B[808]=54,C[808]=141
A[809]=7, B[809]=62,C[809]=69
A[810]=11, B[810]=21,C[810]=32
A[811]=85, B[811]=32,C[811]=117
A[812]=77, B[812]=10,C[812]=87
A[813]=68, B[813]=94,C[813]=162
A[814]=70, B[814]=36,C[814]=106
A[815]=24, B[815]=52,C[815]=76
A[816]=53, B[816]=98,C[816]=151
A[817]=24, B[817]=96,C[817]=120
A[818]=6, B[818]=57,C[818]=63
A[819]=86, B[819]=90,C[819]=176
A[820]=67, B[820]=2,C[820]=69
A[821]=62, B[821]=85,C[821]=147
A[822]=17, B[822]=26,C[822]=43
A[823]=34, B[823]=70,C[823]=104
A[824]=46, B[824]=41,C[824]=87
A[825]=32, B[825]=23,C[825]=55
A[826]=63, B[826]=16,C[826]=79
A[827]=56, B[827]=5,C[827]=61
A[828]=26, B[828]=23,C[828]=49
A[829]=65, B[829]=62,C[829]=127
A[830]=26, B[830]=89,C[830]=115
A[831]=80, B[831]=45,C[831]=125
A[832]=52, B[832]=71,C[832]=123
A[833]=6, B[833]=58,C[833]=64
A[834]=27, B[834]=92,C[834]=119
A[835]=47, B[835]=61,C[835]=108
A[836]=61, B[836]=75,C[836]=136
A[837]=45, B[837]=78,C[837]=123
A[838]=67, B[838]=46,C[838]=113
A[839]=14, B[839]=12,C[839]=26
A[840]=53, B[840]=46,C[840]=99
A[841]=36, B[841]=82,C[841]=118
A[842]=28, B[842]=58,C[842]=86
A[843]=87, B[843]=21,C[843]=108
A[844]=47, B[844]=17,C[844]=64
A[845]=83, B[845]=73,C[845]=156
A[846]=72, B[846]=63,C[846]=135
A[847]=85, B[847]=24,C[847]=109
A[848]=33, B[848]=91,C[848]=124
A[849]=48, B[849]=26,C[849]=74
A[850]=49, B[850]=62,C[850]=111
A[851]=53, B[851]=9,C[851]=62
A[852]=36, B[852]=99,C[852]=135
A[853]=53, B[853]=3,C[853]=56
A[854]=10, B[854]=67,C[854]=77
A[855]=82, B[855]=63,C[855]=145
A[856]=79, B[856]=84,C[856]=163
A[857]=45, B[857]=7,C[857]=52
A[858]=41, B[858]=98,C[858]=139
A[859]=95, B[859]=89,C[859]=184
A[860]=82, B[860]=43,C[860]=125
A[861]=27, B[861]=53,C[861]=80
A[862]=5, B[862]=78,C[862]=83
A[863]=77, B[863]=4,C[863]=81
A[864]=69, B[864]=25,C[864]=94
A[865]=98, B[865]=17,C[865]=115
A[866]=53, B[866]=16,C[866]=69
A[867]=93, B[867]=89,C[867]=182
A[868]=81, B[868]=45,C[868]=126
A[869]=58, B[869]=91,C[869]=149
A[870]=12, B[870]=40,C[870]=52
A[871]=54, B[871]=91,C[871]=145
A[872]=90, B[872]=65,C[872]=155
A[873]=64, B[873]=31,C[873]=95
A[874]=62, B[874]=58,C[874]=120
A[875]=86, B[875]=43,C[875]=129
A[876]=1, B[876]=12,C[876]=13
A[877]=63, B[877]=73,C[877]=136
A[878]=91, B[878]=39,C[878]=130
A[879]=44, B[879]=25,C[879]=69
A[880]=30, B[880]=7,C[880]=37
A[881]=8, B[881]=83,C[881]=91
A[882]=23, B[882]=0,C[882]=23
A[883]=38, B[883]=4,C[883]=42
A[884]=45, B[884]=96,C[884]=141
A[885]=61, B[885]=23,C[885]=84
A[886]=1, B[886]=14,C[886]=15
A[887]=81, B[887]=92,C[887]=173
A[888]=45, B[888]=44,C[888]=89
A[889]=89, B[889]=74,C[889]=163
A[890]=69, B[890]=74,C[890]=143
A[891]=83, B[891]=36,C[891]=119
A[892]=52, B[892]=45,C[892]=97
A[893]=75, B[893]=8,C[893]=83
A[894]=85, B[894]=18,C[894]=103
A[895]=100, B[895]=81,C[895]=181
A[896]=92, B[896]=7,C[896]=99
A[897]=30, B[897]=82,C[897]=112
A[898]=74, B[898]=34,C[898]=108
A[899]=52, B[899]=86,C[899]=138
A[900]=96, B[900]=12,C[900]=108
A[901]=8, B[901]=98,C[901]=106
A[902]=94, B[902]=89,C[902]=183
A[903]=55, B[903]=38,C[903]=93
A[904]=100, B[904]=43,C[904]=143
A[905]=11, B[905]=68,C[905]=79
A[906]=83, B[906]=95,C[906]=178
A[907]=3, B[907]=0,C[907]=3
A[908]=39, B[908]=78,C[908]=117
A[909]=9, B[909]=90,C[909]=99
A[910]=63, B[910]=8,C[910]=71
A[911]=37, B[911]=20,C[911]=57
A[912]=83, B[912]=67,C[912]=150
A[913]=1, B[913]=56,C[913]=57
A[914]=67, B[914]=53,C[914]=120
A[915]=7, B[915]=62,C[915]=69
A[916]=66, B[916]=16,C[916]=82
A[917]=25, B[917]=25,C[917]=50
A[918]=71, B[918]=80,C[918]=151
A[919]=63, B[919]=70,C[919]=133
A[920]=89, B[920]=75,C[920]=164
A[921]=3, B[921]=37,C[921]=40
A[922]=35, B[922]=6,C[922]=41
A[923]=38, B[923]=74,C[923]=112
A[924]=51, B[924]=47,C[924]=98
A[925]=30, B[925]=80,C[925]=110
A[926]=21, B[926]=67,C[926]=88
A[927]=100, B[927]=3,C[927]=103
A[928]=100, B[928]=68,C[928]=168
A[929]=26, B[929]=66,C[929]=92
A[930]=87, B[930]=33,C[930]=120
A[931]=27, B[931]=52,C[931]=79
A[932]=15, B[932]=53,C[932]=68
A[933]=43, B[933]=53,C[933]=96
A[934]=99, B[934]=6,C[934]=105
A[935]=22, B[935]=88,C[935]=110
A[936]=47, B[936]=26,C[936]=73
A[937]=24, B[937]=82,C[937]=106
A[938]=99, B[938]=28,C[938]=127
A[939]=21, B[939]=15,C[939]=36
A[940]=75, B[940]=51,C[940]=126
A[941]=95, B[941]=63,C[941]=158
A[942]=84, B[942]=61,C[942]=145
A[943]=66, B[943]=83,C[943]=149
A[944]=28, B[944]=58,C[944]=86
A[945]=14, B[945]=14,C[945]=28
A[946]=58, B[946]=42,C[946]=100
A[947]=33, B[947]=39,C[947]=72
A[948]=61, B[948]=76,C[948]=137
A[949]=92, B[949]=25,C[949]=117
A[950]=48, B[950]=14,C[950]=62
A[951]=79, B[951]=95,C[951]=174
A[952]=6, B[952]=70,C[952]=76
A[953]=76, B[953]=4,C[953]=80
A[954]=98, B[954]=98,C[954]=196
A[955]=87, B[955]=39,C[955]=126
A[956]=14, B[956]=81,C[956]=95
A[957]=1, B[957]=99,C[957]=100
A[958]=7, B[958]=33,C[958]=40
A[959]=81, B[959]=1,C[959]=82
A[960]=92, B[960]=96,C[960]=188
A[961]=16, B[961]=15,C[961]=31
A[962]=3, B[962]=15,C[962]=18
A[963]=54, B[963]=30,C[963]=84
A[964]=57, B[964]=12,C[964]=69
A[965]=55, B[965]=5,C[965]=60
A[966]=93, B[966]=0,C[966]=93
A[967]=100, B[967]=99,C[967]=199
A[968]=70, B[968]=42,C[968]=112
A[969]=69, B[969]=67,C[969]=136
A[970]=39, B[970]=21,C[970]=60
A[971]=5, B[971]=53,C[971]=58
A[972]=2, B[972]=6,C[972]=8
A[973]=51, B[973]=76,C[973]=127
A[974]=40, B[974]=99,C[974]=139
A[975]=78, B[975]=98,C[975]=176
A[976]=60, B[976]=60,C[976]=120
A[977]=79, B[977]=63,C[977]=142
A[978]=75, B[978]=99,C[978]=174
A[979]=59, B[979]=98,C[979]=157
A[980]=10, B[980]=80,C[980]=90
A[981]=2, B[981]=2,C[981]=4
A[982]=80, B[982]=69,C[982]=149
A[983]=67, B[983]=49,C[983]=116
A[984]=10, B[984]=2,C[984]=12
A[985]=16, B[985]=49,C[985]=65
A[986]=23, B[986]=88,C[986]=111
A[987]=68, B[987]=92,C[987]=160
A[988]=95, B[988]=86,C[988]=181
A[989]=68, B[989]=0,C[989]=68
A[990]=84, B[990]=11,C[990]=95
A[991]=64, B[991]=43,C[991]=107
A[992]=71, B[992]=42,C[992]=113
A[993]=72, B[993]=45,C[993]=117
A[994]=40, B[994]=97,C[994]=137
A[995]=42, B[995]=17,C[995]=59
A[996]=76, B[996]=11,C[996]=87
A[997]=86, B[997]=56,C[997]=142
A[998]=80, B[998]=19,C[998]=99
A[999]=4, B[999]=90,C[999]=94
A[1000]=88, B[1000]=87,C[1000]=175
A[1001]=4, B[1001]=77,C[1001]=81
A[1002]=75, B[1002]=72,C[1002]=147
A[1003]=69, B[1003]=35,C[1003]=104
A[1004]=23, B[1004]=2,C[1004]=25
A[1005]=35, B[1005]=6,C[1005]=41
A[1006]=80, B[1006]=99,C[1006]=179
A[1007]=15, B[1007]=50,C[1007]=65
A[1008]=6, B[1008]=53,C[1008]=59
A[1009]=61, B[1009]=46,C[1009]=107
A[1010]=49, B[1010]=69,C[1010]=118
A[1011]=29, B[1011]=25,C[1011]=54
A[1012]=80, B[1012]=15,C[1012]=95
A[1013]=47, B[1013]=25,C[1013]=72
A[1014]=34, B[1014]=51,C[1014]=85
A[1015]=14, B[1015]=21,C[1015]=35
A[1016]=38, B[1016]=85,C[1016]=123
A[1017]=98, B[1017]=79,C[1017]=177
A[1018]=57, B[1018]=32,C[1018]=89
A[1019]=13, B[1019]=46,C[1019]=59
A[1020]=0, B[1020]=48,C[1020]=48
A[1021]=53, B[1021]=80,C[1021]=133
A[1022]=12, B[1022]=34,C[1022]=46
A[1023]=29, B[1023]=18,C[1023]=47
